Date,APPLE,FB,MICROSOFT,TESLA,INFY,SAMSUNG,ALIBABA,SONY
01-03-2017 16:00,116.15,116.86,62.58,216.99,14.74,1400,88.6,28.29
01-04-2017 16:00,116.02,118.69,62.3,226.99,15.13,1500,90.51,28.58
01-05-2017 16:00,116.61,120.67,62.3,226.75,15.02,1500,94.37,28.72
01-06-2017 16:00,117.91,123.41,62.84,229.01,14.82,1500,93.89,28.96
01-09-2017 16:00,118.99,124.9,62.64,231.28,14.96,1850,94.72,28.82
01-10-2017 16:00,119.11,124.35,62.62,229.87,14.78,1850,96.75,29.53
01-11-2017 16:00,119.75,126.09,63.19,229.73,15.19,1850,96.94,30.44
01-12-2017 16:00,119.25,126.62,62.61,229.59,15.25,1800,95.9,30.87
1/13/2017 16:00:00,119.04,128.34,62.7,237.75,14.5,2000,96.27,31.02
1/17/2017 16:00:00,120,127.87,62.53,235.58,14.49,2080,96.12,30.86
1/18/2017 16:00:00,119.99,127.92,62.5,238.36,14.44,2320,96,30.71
1/19/2017 16:00:00,119.78,127.55,62.3,243.76,14.39,2081,96.17,30.4
1/20/2017 16:00:00,120,127.04,62.74,244.73,14.36,2100,96.06,30.5
1/23/2017 16:00:00,120.08,128.93,62.96,248.92,14.09,2030,98.41,30.43
1/24/2017 16:00:00,119.97,129.37,63.52,254.61,14.12,2020,101.43,30.49
1/25/2017 16:00:00,121.88,131.48,63.68,254.47,14,2000,104.06,30.79
1/26/2017 16:00:00,121.94,132.78,64.27,252.51,13.79,1950,102.75,31.12
1/27/2017 16:00:00,121.95,132.18,65.78,252.95,13.94,1950,102.07,30.52
1/30/2017 16:00:00,121.63,130.98,65.13,250.63,13.81,1975,101.02,29.44
1/31/2017 16:00:00,121.35,130.32,64.65,251.93,13.77,2100,101.31,30.27
02-01-2017 16:00,128.75,133.23,63.58,249.24,13.59,2150,101.57,30.24
02-02-2017 16:00,128.53,130.84,63.17,251.55,13.75,2150,100.84,31.94
02-03-2017 16:00,129.08,130.98,63.68,251.33,13.88,2450,100.39,31.66
02-06-2017 16:00,130.29,132.06,63.64,257.77,13.85,2400,100.9,31.94
02-07-2017 16:00,131.53,131.84,63.43,257.48,14.07,2400,100.83,32.11
02-08-2017 16:00,132.04,134.2,63.34,262.08,14.11,2400,103.57,31.83
02-09-2017 16:00,132.42,134.14,64.06,269.2,14.57,2400,103.34,31.8
02-10-2017 16:00,132.12,134.19,64,269.23,14.5,2280,102.36,31.77
2/13/2017 16:00:00,133.29,134.05,64.72,280.6,14.65,,103.1,31.68
2/14/2017 16:00:00,135.02,133.85,64.57,280.98,14.91,,101.59,31.63
2/15/2017 16:00:00,135.51,133.44,64.53,279.76,14.86,,101.55,31.57
2/16/2017 16:00:00,135.345,133.84,64.52,268.95,14.99,,100.82,31.3
2/17/2017 16:00:00,135.72,133.53,64.62,272.23,14.88,,100.52,31.34
2/21/2017 16:00:00,136.7,133.72,64.49,277.39,15.29,,102.12,31.23
2/22/2017 16:00:00,137.11,136.12,64.36,273.51,15.04,,104.2,31.31
2/23/2017 16:00:00,136.53,135.36,64.62,255.99,15.19,,102.46,31.24
2/24/2017 16:00:00,136.66,135.44,64.62,257,15.21,,102.95,30.93
2/27/2017 16:00:00,136.93,136.41,64.23,246.23,15.21,,103.6,30.77
2/28/2017 16:00:00,136.99,135.54,63.98,249.99,15.14,,102.9,30.96
03-01-2017 16:00,139.79,137.42,64.94,250.02,15.36,,104.04,31.53
03-02-2017 16:00,138.96,136.76,64.01,250.48,15.28,,103.19,31.41
03-03-2017 16:00,139.78,137.17,64.25,251.57,15.38,,103.31,31.56
03-06-2017 16:00,139.34,137.42,64.27,251.21,15.16,,102.31,31.18
03-07-2017 16:00,139.52,137.3,64.4,248.59,15.03,,102.63,30.85
03-08-2017 16:00,139,137.72,64.99,246.87,14.97,,103.22,30.74
03-09-2017 16:00,138.68,138.24,64.73,244.9,15.22,,103.24,30.82
03-10-2017 16:00,139.14,138.79,64.93,243.69,15.5,,103.39,31.71
3/13/2017 16:00:00,139.2,139.6,64.71,246.17,15.59,,105.18,31.9
3/14/2017 16:00:00,138.99,139.32,64.41,258,15.56,,104.25,31.46
3/15/2017 16:00:00,140.46,139.72,64.75,255.73,15.41,,103.69,31.69
3/16/2017 16:00:00,140.69,139.99,64.64,262.05,15.77,,105.63,31.89
3/17/2017 16:00:00,139.99,139.84,64.87,261.5,15.34,,105.61,32.09
3/20/2017 16:00:00,141.46,139.94,64.93,261.92,15.51,,107.25,32.13
3/21/2017 16:00:00,139.84,138.51,64.21,250.68,15.53,,105.09,31.76
3/22/2017 16:00:00,141.42,139.59,65.03,255.01,15.65,,106.09,31.98
3/23/2017 16:00:00,140.92,139.53,64.87,254.78,15.71,,108.25,31.78
3/24/2017 16:00:00,140.64,140.34,64.98,263.16,15.67,,108.04,32.21
3/27/2017 16:00:00,140.88,140.32,65.1,270.22,15.75,,108.08,32.49
3/28/2017 16:00:00,143.8,141.76,65.29,277.45,15.72,,107.8,32.46
3/29/2017 16:00:00,144.12,142.65,65.47,277.38,15.8,,109.51,33.15
3/30/2017 16:00:00,143.93,142.41,65.71,277.92,15.8,,108.85,33.48
3/31/2017 16:00:00,143.66,142.05,65.86,278.3,15.8,,107.83,33.73
04-03-2017 16:00,143.7,142.28,65.55,298.52,15.47,,108.09,33.02
04-04-2017 16:00,144.77,141.73,65.73,303.7,15.39,,107.52,33.13
04-05-2017 16:00,144.02,141.85,65.56,295,15.36,,107.44,32.76
04-06-2017 16:00,143.66,141.17,65.73,298.7,15.36,,108.04,32.21
04-07-2017 16:00,143.34,140.78,65.68,302.54,15.27,,108.99,32.08
04-10-2017 16:00,143.17,141.04,65.53,312.39,15.17,,111.7,31.93
04-11-2017 16:00,141.63,139.92,65.48,308.71,15.09,,110.44,31.85
04-12-2017 16:00,141.8,139.58,65.23,296.84,15.26,,110.63,31.48
4/13/2017 16:00:00,141.05,139.39,64.95,304,14.48,,110.21,31.32
4/17/2017 16:00:00,141.83,141.42,65.48,301.44,14.53,,111.76,31.84
4/18/2017 16:00:00,141.2,140.96,65.39,300.25,14.42,,111.23,31.68
4/19/2017 16:00:00,140.68,142.27,65.04,305.52,14.34,,110.76,31.97
4/20/2017 16:00:00,142.44,143.8,65.5,302.51,14.47,,112.96,32.83
4/21/2017 16:00:00,142.27,143.68,66.4,305.6,14.48,,113.11,33.68
4/24/2017 16:00:00,143.64,145.47,67.53,308.03,14.43,,114.86,33.82
4/25/2017 16:00:00,144.53,146.49,67.92,313.79,14.54,,115.48,33.65
4/26/2017 16:00:00,143.68,146.56,67.83,310.17,14.5,,114.97,33.58
4/27/2017 16:00:00,143.79,147.7,68.27,308.63,14.57,,115.43,33.72
4/28/2017 16:00:00,143.65,150.25,68.46,314.07,14.56,,115.5,34.52
05-01-2017 16:00,146.58,152.46,69.41,322.83,14.54,,116.68,34.68
05-02-2017 16:00,147.51,152.78,69.3,318.89,14.52,,118.09,34.74
05-03-2017 16:00,147.06,151.8,69.08,311.02,14.68,,116.57,34.61
05-04-2017 16:00,146.53,150.85,68.81,295.46,14.72,,115.86,34.59
05-05-2017 16:00,148.96,150.24,69,308.35,14.8,,116.04,34.78
05-08-2017 16:00,153.01,151.06,68.94,307.19,15.1,,116.86,35.16
05-09-2017 16:00,153.99,150.48,69.04,321.26,14.94,,120,35.41
05-10-2017 16:00,153.26,150.29,69.31,325.22,14.91,,119.98,35.6
05-11-2017 16:00,153.95,150.04,68.46,323.1,15.27,,120.16,35.59
05-12-2017 16:00,156.1,150.33,68.38,324.81,15.28,,120.34,35.55
5/15/2017 16:00:00,155.7,150.19,68.43,315.88,15.12,,121.4,35.36
5/16/2017 16:00:00,155.47,149.78,69.41,317.01,15.26,,124.02,35.47
5/17/2017 16:00:00,150.25,144.85,67.48,306.11,14.89,,120.72,35.36
5/18/2017 16:00:00,152.54,147.66,67.71,313.06,14.98,,121.27,35.32
5/19/2017 16:00:00,153.06,148.06,67.69,310.83,15.16,,123.22,35.66
5/22/2017 16:00:00,153.99,148.24,68.45,310.35,15.05,,124.75,35.53
5/23/2017 16:00:00,153.8,148.07,68.68,303.86,15.06,,122.93,35.55
5/24/2017 16:00:00,153.34,150.04,68.77,310.22,15.2,,122.81,36.02
5/25/2017 16:00:00,153.87,151.96,69.62,316.83,15.51,,123.63,36.17
5/26/2017 16:00:00,153.61,152.13,69.96,325.14,15.53,,123.99,36.68
5/30/2017 16:00:00,153.67,152.38,70.41,335.1,15.4,,123.91,36.48
5/31/2017 16:00:00,152.76,151.46,69.84,341.01,15.1,,122.46,36.62
06-01-2017 16:00,153.18,151.53,70.1,340.37,15.3,,123.97,36.51
06-02-2017 16:00,155.45,153.61,71.76,339.85,15.18,,124.13,37.75
06-05-2017 16:00,153.93,153.63,72.28,347.32,15.23,,125.37,37.67
06-06-2017 16:00,154.45,152.81,72.52,352.85,15.59,,124.62,38.13
06-07-2017 16:00,155.37,153.12,72.39,359.65,15.33,,125.64,37.84
06-08-2017 16:00,154.99,154.71,71.95,370,15.27,,142.34,37.89
06-09-2017 16:00,148.98,149.6,70.32,357.32,14.95,,139.44,36.97
06-12-2017 16:00,145.42,148.44,69.78,359.01,15.06,,139.08,37.05
6/13/2017 16:00:00,146.59,150.68,70.65,375.95,15.14,,136.6,36.95
6/14/2017 16:00:00,145.16,150.25,70.27,380.66,15.17,,136.67,37.06
6/15/2017 16:00:00,144.29,149.8,69.9,375.34,15.07,,135.08,37.43
6/16/2017 16:00:00,142.27,150.64,70,371.4,14.67,,134.87,37.33
6/19/2017 16:00:00,146.34,152.87,70.87,369.8,14.82,,139.47,38.64
6/20/2017 16:00:00,145.01,152.25,69.91,372.24,14.9,,138.38,38.16
6/21/2017 16:00:00,145.87,153.91,70.27,376.4,14.98,,143.29,38.14
6/22/2017 16:00:00,145.63,153.4,70.26,382.61,14.77,,142.27,38.41
6/23/2017 16:00:00,146.28,155.07,71.21,383.45,14.85,,143.01,38.52
6/26/2017 16:00:00,145.82,153.59,70.53,377.49,14.94,,142.73,38.68
6/27/2017 16:00:00,143.73,150.58,69.21,362.37,14.71,,141.53,38.57
6/28/2017 16:00:00,145.83,153.24,69.8,371.24,14.92,,143.95,38.87
6/29/2017 16:00:00,143.68,151.04,68.49,360.75,14.89,,140.81,38.28
6/30/2017 16:00:00,144.02,150.98,68.93,361.61,15.02,,140.9,38.19
07-03-2017 13:00,143.5,148.43,68.17,352.62,15.14,,140.99,38.19
07-05-2017 16:00,144.09,150.34,69.08,327.09,14.94,,144.87,37.93
07-06-2017 16:00,142.73,148.82,68.57,308.83,14.94,,142.2,37.54
07-07-2017 16:00,144.18,151.44,69.46,313.22,15.04,,142.43,37.79
07-10-2017 16:00,145.06,153.5,69.98,316.05,15.32,,143.81,38.15
07-11-2017 16:00,145.53,155.27,69.99,327.22,15.47,,145.81,38.85
07-12-2017 16:00,145.74,158.9,71.15,329.52,15.64,,149,39.73
7/13/2017 16:00:00,147.77,159.26,71.77,323.41,15.56,,149.52,39.8
7/14/2017 16:00:00,149.04,159.97,72.78,327.78,15.67,,151.83,40.22
7/17/2017 16:00:00,149.56,159.73,73.35,319.57,15.64,,151.23,40.13
7/18/2017 16:00:00,150.08,162.86,73.3,328.24,15.55,,153.75,40.37
7/19/2017 16:00:00,151.02,164.14,73.86,325.26,15.38,,153.15,40.56
7/20/2017 16:00:00,150.34,164.53,74.22,329.92,15.52,,152.11,40.63
7/21/2017 16:00:00,150.27,164.43,73.79,328.4,15.68,,151.89,40.81
7/24/2017 16:00:00,152.09,166,73.6,342.52,15.68,,152.26,40.61
7/25/2017 16:00:00,152.74,165.28,74.19,339.6,15.81,,152.44,40.18
7/26/2017 16:00:00,153.46,165.61,74.05,343.85,15.91,,155.79,40.8
7/27/2017 16:00:00,150.56,170.44,73.16,334.46,15.59,,154.15,41.29
7/28/2017 16:00:00,149.5,172.45,73.04,335.07,15.71,,157.56,40.97
7/31/2017 16:00:00,148.73,169.25,72.7,323.47,15.8,,154.95,41.07
08-01-2017 16:00,150.05,169.86,72.58,319.57,15.91,,154.73,40.71
08-02-2017 16:00,157.14,169.3,72.26,325.89,15.78,,151.91,39.81
08-03-2017 16:00,155.57,168.59,72.15,347.09,15.77,,153.32,40.2
08-04-2017 16:00,156.39,169.62,72.68,356.91,15.67,,153.33,40.34
08-07-2017 16:00,158.81,171.98,72.4,355.17,15.54,,158.84,39.99
08-08-2017 16:00,160.08,171.23,72.79,365.22,15.52,,157.5,40.56
08-09-2017 16:00,161.06,171.18,72.47,363.53,15.6,,157.49,40.02
08-10-2017 16:00,155.32,167.4,71.41,355.4,15.32,,151.77,38.88
08-11-2017 16:00,157.48,168.08,72.5,357.87,15.49,,151.7,39
8/14/2017 16:00:00,159.85,170.75,73.59,363.8,15.47,,154.61,39.15
8/15/2017 16:00:00,161.6,171,73.22,362.33,15.49,,157.75,38.92
8/16/2017 16:00:00,160.95,170,73.65,362.91,15.65,,159.5,39.39
8/17/2017 16:00:00,157.86,166.91,72.4,351.92,15.93,,163.92,39
8/18/2017 16:00:00,157.5,167.41,72.49,347.46,14.79,,167.5,38.77
8/21/2017 16:00:00,157.21,167.78,72.15,337.86,14.56,,169.25,38.5
8/22/2017 16:00:00,159.78,169.64,73.16,341.35,14.26,,174.46,38.71
8/23/2017 16:00:00,159.98,168.71,72.72,352.77,14.82,,175.8,38.81
8/24/2017 16:00:00,159.27,167.74,72.69,352.93,14.99,,175,38.19
8/25/2017 16:00:00,159.86,166.32,72.82,348.05,15.15,,171.74,38.5
8/28/2017 16:00:00,161.47,167.24,72.83,345.66,15.31,,168.3,38.48
8/29/2017 16:00:00,162.91,168.05,73.05,347.36,15.27,,167.41,38.64
8/30/2017 16:00:00,163.35,169.92,74.01,353.18,15.05,,171.25,39.2
8/31/2017 16:00:00,164,171.97,74.77,355.9,15,,171.74,39.63
09-01-2017 16:00,164.05,172.02,73.94,355.4,14.84,,171.04,39.72
09-05-2017 16:00,162.08,170.72,73.61,349.59,14.65,,169.92,39.33
09-06-2017 16:00,161.91,172.09,73.4,344.53,14.62,,168.14,39.33
09-07-2017 16:00,161.26,173.21,74.34,350.61,14.58,,170.48,39.43
09-08-2017 16:00,158.63,170.95,73.98,343.4,14.53,,169,39.93
09-11-2017 16:00,161.5,173.51,74.76,363.69,14.57,,174.06,40.35
09-12-2017 16:00,160.86,172.96,74.68,362.75,14.54,,175.31,40.18
9/13/2017 16:00:00,159.65,173.05,75.21,366.23,14.53,,178.97,39.74
9/14/2017 16:00:00,158.28,170.96,74.77,377.64,14.55,,177.1,38.36
9/15/2017 16:00:00,159.88,171.64,75.31,379.81,14.65,,176.7,38.66
9/18/2017 16:00:00,158.67,170.01,75.16,385,14.8,,179.98,38.39
9/19/2017 16:00:00,158.73,172.52,75.44,375.1,14.8,,180.07,37.66
9/20/2017 16:00:00,156.07,172.17,74.94,373.91,14.84,,177.95,37.76
9/21/2017 16:00:00,153.39,171.11,74.21,366.48,14.64,,177.39,37.46
9/22/2017 16:00:00,151.89,170.54,74.41,351.09,14.59,,178.14,37.5
9/25/2017 16:00:00,150.55,162.87,73.26,344.99,14.31,,169.59,36.97
9/26/2017 16:00:00,153.14,164.21,73.26,345.25,14.34,,167.02,36.46
9/27/2017 16:00:00,154.23,167.68,73.85,340.97,14.3,,170.99,36.49
9/28/2017 16:00:00,153.28,168.73,73.87,339.6,14.27,,170.24,36.72
9/29/2017 16:00:00,154.12,170.87,74.49,341.1,14.59,,172.71,37.34
10-02-2017 16:00,153.81,169.47,74.61,341.53,14.68,,173.61,37.32
10-03-2017 16:00,154.48,169.96,74.26,348.14,14.55,,178.56,37.55
10-04-2017 16:00,153.48,168.42,74.69,355.01,14.51,,178.71,37.53
10-05-2017 16:00,155.39,171.24,75.97,355.33,14.52,,178.89,36.96
10-06-2017 16:00,155.3,172.23,76,356.88,14.63,,179.2,37.08
10-09-2017 16:00,155.84,172.5,76.29,342.94,14.69,,182.09,37.04
10-10-2017 16:00,155.9,171.59,76.29,355.59,14.76,,183.12,36.71
10-11-2017 16:00,156.55,172.74,76.42,354.6,14.66,,183.62,36.64
10-12-2017 16:00,156,172.55,77.12,355.68,14.61,,180.53,36.32
10/13/2017 16:00:00,156.99,173.74,77.49,355.57,14.71,,178.45,36.82
10/16/2017 16:00:00,159.88,174.52,77.65,350.6,14.62,,179.56,37.05
10/17/2017 16:00:00,160.47,176.11,77.59,355.75,14.46,,175.32,36.95
10/18/2017 16:00:00,159.76,176.03,77.61,359.65,14.58,,179.61,37.46
10/19/2017 16:00:00,155.98,174.56,77.91,351.81,14.7,,177.93,37.44
10/20/2017 16:00:00,156.25,174.98,78.81,345.1,14.56,,177.32,37.55
10/23/2017 16:00:00,156.17,171.27,78.83,337.02,14.83,,173.13,37.51
10/24/2017 16:00:00,157.1,171.8,78.86,337.34,14.52,,173.7,37.7
10/25/2017 16:00:00,156.41,170.6,78.63,325.84,15.01,,170.22,37.16
10/26/2017 16:00:00,157.41,170.63,78.76,326.17,15.01,,170.32,37.86
10/27/2017 16:00:00,163.05,177.88,83.81,320.87,15,,176.15,37.83
10/30/2017 16:00:00,166.72,179.87,83.89,320.08,14.89,,181.58,38.85
10/31/2017 16:00:00,169.04,180.06,83.18,331.53,14.85,,184.89,43.41
11-01-2017 16:00,166.89,182.66,83.18,321.08,14.65,,186.08,43.54
11-02-2017 16:00,168.11,178.92,84.05,299.26,14.59,,184.81,44.89
11-03-2017 16:00,172.5,178.92,84.14,306.09,14.63,,183.21,44.81
11-06-2017 16:00,174.25,180.17,84.47,302.78,14.82,,187.84,45.87
11-07-2017 16:00,174.81,180.25,84.27,306.05,14.85,,188.51,46.01
11-08-2017 16:00,176.24,179.56,84.56,304.39,14.92,,185.9,47.47
11-09-2017 16:00,175.88,179.3,84.09,302.99,14.98,,185.13,45.89
11-10-2017 16:00,174.67,178.46,83.87,302.99,15.01,,186.41,46.22
11/13/2017 16:00:00,173.97,178.77,83.93,315.4,14.8,,184.54,46.08
11/14/2017 16:00:00,171.34,178.07,84.05,308.7,14.91,,181.79,46.05
11/15/2017 16:00:00,169.08,177.95,82.98,311.3,14.84,,181.48,45.24
11/16/2017 16:00:00,171.1,179.59,83.2,312.5,15.27,,185.43,46.1
11/17/2017 16:00:00,170.15,179,82.4,315.05,15.19,,185.13,46.17
11/20/2017 16:00:00,169.98,178.74,82.53,308.74,15.08,,188,46.97
11/21/2017 16:00:00,173.14,181.86,83.72,317.81,15.12,,190.9,47.11
11/22/2017 16:00:00,174.96,180.87,83.11,312.6,15.2,,189.84,47.22
11/24/2017 13:00:00,174.97,182.78,83.26,315.55,15.61,,191.19,47.89
11/27/2017 16:00:00,174.09,183.03,83.87,316.81,15.53,,188.03,48.02
11/28/2017 16:00:00,173.07,182.42,84.88,317.55,15.56,,186.69,48.3
11/29/2017 16:00:00,169.48,175.13,83.34,307.54,15.5,,179.91,47.37
11/30/2017 16:00:00,171.85,177.18,84.17,308.85,15.56,,177.08,46.8
12-01-2017 16:00,171.05,175.1,84.26,306.53,15.06,,174.61,45.56
12-04-2017 16:00,169.8,171.47,81.08,305.2,15.46,,169.58,45.78
12-05-2017 16:00,169.64,172.83,81.59,303.7,15.69,,168.96,45.87
12-06-2017 16:00,169.01,176.06,82.78,313.26,15.56,,172.63,44.91
12-07-2017 16:00,169.32,180.14,82.49,311.24,15.67,,174.47,45.75
12-08-2017 16:00,169.37,179,84.16,315.13,15.68,,177.62,45.79
12-11-2017 16:00,172.67,179.04,85.23,328.91,15.86,,179.29,44.9
12-12-2017 16:00,171.7,176.96,85.58,341.03,15.91,,174.64,44.63
12/13/2017 16:00:00,172.27,178.3,85.35,339.03,15.89,,176.47,44.65
12/14/2017 16:00:00,172.22,178.39,84.69,337.89,15.9,,171.75,44.45
12/15/2017 16:00:00,173.97,180.18,86.85,343.45,16.06,,173.55,44.84
12/18/2017 16:00:00,176.42,180.82,86.38,338.87,16.04,,173.37,45.73
12/19/2017 16:00:00,174.54,179.51,85.83,331.1,15.99,,171.28,45.34
12/20/2017 16:00:00,174.35,177.89,85.52,328.98,16,,172.64,45.03
12/21/2017 16:00:00,175.01,177.45,85.5,331.66,16.09,,175.32,45.41
12/22/2017 16:00:00,175.01,177.2,85.51,325.2,16.1,,176.29,45.68
12/26/2017 16:00:00,170.57,175.99,85.4,317.29,16.21,,172.33,45.21
12/27/2017 16:00:00,170.6,177.62,85.71,311.64,16.18,,172.97,45.26
12/28/2017 16:00:00,171.08,177.92,85.72,315.36,16.16,,172.3,45.29
12/29/2017 16:00:00,169.23,176.46,85.54,311.35,16.22,,172.43,44.95
